match_number,home_odds,draw_odds,away_odds,source
1,1.42,4.50,8.50,Unibet
2,2.70,3.25,2.75,Unibet
3,1.88,3.50,4.50,Unibet
4,2.04,3.30,4.00,Unibet
5,12.00,5.80,1.27,Unibet
6,1.61,4.00,6.00,Unibet
7,8.00,4.60,1.44,Unibet
8,4.90,3.60,1.79,Unibet
9,1.03,20.00,46.00,Unibet   
10,2.05,3.55,3.65,Unibet
11,3.45,3.05,2.32,Unibet
12,1.96,3.40,4.25,Unibet
13,1.08,12.00,29.00,Unibet
14,1.64,4.10,5.30,Unibet
15,7.00,4.40,1.49,Unibet
16,1.88,3.55,4.35,Unibet
17,1.43,4.75,8.00,Unibet
18,11.50,6.50,1.25,Unibet
19,1.41,4.60,8.50,Unibet
20,1.33,5.40,9.50,Unibet
21,1.27,6.00,11.50,Unibet
22,1.75,3.75,5.00,Unibet
23,2.08,3.40,3.80,Unibet
24,8.50,4.60,1.42,Unibet
25,2.10,3.10,4.00,Unibet
26,1.58,4.10,5.80,Unibet
27,1.35,5.00,9.00,Unibet
28,1.85,3.40,4.60,Unibet
29,1.76,3.50,5.00,Unibet
30,3.75,3.20,2.10,Unibet
31,1.04,15.00,51.00,Unibet
32,2.30,3.10,3.40,Unibet
33,1.72,3.80,4.75,Unibet
34,1.54,4.25,6.00,Unibet
35,1.25,6.00,12.00,Unibet
36,4.75,3.35,1.85,Unibet
37,1.12,9.00,23.00,Unibet
38,1.45,4.50,7.50,Unibet
39,1.45,4.50,7.00,Unibet
40,5.00,3.60,1.75,Unibet
41,1.65,3.75,5.50,Unibet
42,1.11,9.00,26.00,Unibet
43,2.15,3.25,3.60,Unibet
44,5.30,3.90,1.65,Unibet
45,1.22,6.50,13.00,Unibet
46,1.35,5.00,9.00,Unibet
47,7.00,4.10,1.50,Unibet
48,1.46,4.30,7.50,Unibet
49,2.00,3.40,3.80,Unibet
50,1.58,4.00,6.00,Unibet
51,8.00,5.00,1.37,Unibet
52,1.33,5.25,9.00,Unibet
53,3.50,3.25,2.08,Unibet
54,3.75,3.30,1.98,Unibet
55,9.00,5.20,1.30,Unibet
56,4.90,3.75,1.66,Unibet
57,2.05,3.35,3.50,Unibet
58,6.00,4.00,1.52,Unibet
59,2.70,3.30,2.50,Unibet
60,2.14,3.20,3.40,Unibet
61,5.00,3.60,1.68,Unibet
62,1.40,4.50,7.50,Unibet
63,2.60,3.45,2.50,Unibet
64,5.00,3.90,1.62,Unibet
65,2.40,3.00,3.10,Unibet
66,9.00,6.00,1.26,Unibet
67,12.00,6.50,1.20,Unibet
68,1.75,3.60,4.50,Unibet
69,3.40,3.25,2.14,Unibet
70,2.48,3.20,2.80,Unibet
71,3.50,3.25,2.08,Unibet
72,12.00,7.50,1.17,Unibet
