match_number,stage,group,home_team,away_team,scheduled_at,venue
1,GROUP,A,MEX,RSA,2026-06-11T19:00:00Z,
2,GROUP,A,KOR,CZE,2026-06-12T02:00:00Z,
3,GROUP,B,CAN,BIH,2026-06-12T19:00:00Z,
4,GROUP,D,USA,PAR,2026-06-13T01:00:00Z,
5,GROUP,B,QAT,SUI,2026-06-13T19:00:00Z,
6,GROUP,C,BRA,MAR,2026-06-13T22:00:00Z,
7,GROUP,C,HAI,SCO,2026-06-14T01:00:00Z,
8,GROUP,D,AUS,TUR,2026-06-14T04:00:00Z,
9,GROUP,E,GER,CUR,2026-06-14T17:00:00Z,
10,GROUP,F,NED,JPN,2026-06-14T20:00:00Z,
11,GROUP,E,CIV,ECU,2026-06-14T23:00:00Z,
12,GROUP,F,SWE,TUN,2026-06-15T02:00:00Z,
13,GROUP,H,ESP,CPV,2026-06-15T16:00:00Z,
14,GROUP,G,BEL,EGY,2026-06-15T19:00:00Z,
15,GROUP,H,KSA,URU,2026-06-15T22:00:00Z,
16,GROUP,G,IRN,NZL,2026-06-16T01:00:00Z,
17,GROUP,I,FRA,SEN,2026-06-16T19:00:00Z,
18,GROUP,I,IRQ,NOR,2026-06-16T22:00:00Z,
19,GROUP,J,ARG,ALG,2026-06-17T01:00:00Z,
20,GROUP,J,AUT,JOR,2026-06-17T04:00:00Z,
21,GROUP,K,POR,COD,2026-06-17T17:00:00Z,
22,GROUP,L,ENG,CRO,2026-06-17T20:00:00Z,
23,GROUP,L,GHA,PAN,2026-06-17T23:00:00Z,
24,GROUP,K,UZB,COL,2026-06-18T02:00:00Z,
25,GROUP,A,CZE,RSA,2026-06-18T16:00:00Z,
26,GROUP,B,SUI,BIH,2026-06-18T19:00:00Z,
27,GROUP,B,CAN,QAT,2026-06-18T22:00:00Z,
28,GROUP,A,MEX,KOR,2026-06-19T01:00:00Z,
29,GROUP,D,USA,AUS,2026-06-19T19:00:00Z,
30,GROUP,C,SCO,MAR,2026-06-19T22:00:00Z,
31,GROUP,C,BRA,HAI,2026-06-20T00:30:00Z,
32,GROUP,D,TUR,PAR,2026-06-20T03:00:00Z,
33,GROUP,F,NED,SWE,2026-06-20T17:00:00Z,
34,GROUP,E,GER,CIV,2026-06-20T20:00:00Z,
35,GROUP,E,ECU,CUR,2026-06-21T00:00:00Z,
36,GROUP,F,TUN,JPN,2026-06-21T04:00:00Z,
37,GROUP,H,ESP,KSA,2026-06-21T16:00:00Z,
38,GROUP,G,BEL,IRN,2026-06-21T19:00:00Z,
39,GROUP,H,URU,CPV,2026-06-21T22:00:00Z,
40,GROUP,G,NZL,EGY,2026-06-22T01:00:00Z,
41,GROUP,J,ARG,AUT,2026-06-22T17:00:00Z,
42,GROUP,I,FRA,IRQ,2026-06-22T21:00:00Z,
43,GROUP,I,NOR,SEN,2026-06-23T00:00:00Z,
44,GROUP,J,JOR,ALG,2026-06-23T03:00:00Z,
45,GROUP,K,POR,UZB,2026-06-23T17:00:00Z,
46,GROUP,L,ENG,GHA,2026-06-23T20:00:00Z,
47,GROUP,L,PAN,CRO,2026-06-23T23:00:00Z,
48,GROUP,K,COL,COD,2026-06-24T02:00:00Z,
49,GROUP,B,SUI,CAN,2026-06-24T19:00:00Z,
50,GROUP,B,BIH,QAT,2026-06-24T19:00:00Z,
51,GROUP,C,SCO,BRA,2026-06-24T22:00:00Z,
52,GROUP,C,MAR,HAI,2026-06-24T22:00:00Z,
53,GROUP,A,CZE,MEX,2026-06-25T01:00:00Z,
54,GROUP,A,RSA,KOR,2026-06-25T01:00:00Z,
55,GROUP,E,CUR,CIV,2026-06-25T20:00:00Z,
56,GROUP,E,ECU,GER,2026-06-25T20:00:00Z,
57,GROUP,F,JPN,SWE,2026-06-25T23:00:00Z,
58,GROUP,F,TUN,NED,2026-06-25T23:00:00Z,
59,GROUP,D,TUR,USA,2026-06-26T02:00:00Z,
60,GROUP,D,PAR,AUS,2026-06-26T02:00:00Z,
61,GROUP,I,NOR,FRA,2026-06-26T19:00:00Z,
62,GROUP,I,SEN,IRQ,2026-06-26T19:00:00Z,
63,GROUP,H,CPV,KSA,2026-06-27T00:00:00Z,
64,GROUP,H,URU,ESP,2026-06-27T00:00:00Z,
65,GROUP,G,EGY,IRN,2026-06-27T03:00:00Z,
66,GROUP,G,NZL,BEL,2026-06-27T03:00:00Z,
67,GROUP,L,PAN,ENG,2026-06-27T21:00:00Z,
68,GROUP,L,CRO,GHA,2026-06-27T21:00:00Z,
69,GROUP,K,COL,POR,2026-06-27T23:30:00Z,
70,GROUP,K,COD,UZB,2026-06-27T23:30:00Z,
71,GROUP,J,ALG,AUT,2026-06-28T02:00:00Z,
72,GROUP,J,JOR,ARG,2026-06-28T02:00:00Z,
73,ROUND_OF_32,,,,2026-06-28T19:00:00Z,
74,ROUND_OF_32,,,,2026-06-29T17:00:00Z,
75,ROUND_OF_32,,,,2026-06-29T20:30:00Z,
76,ROUND_OF_32,,,,2026-06-30T01:00:00Z,
77,ROUND_OF_32,,,,2026-06-30T17:00:00Z,
78,ROUND_OF_32,,,,2026-06-30T21:00:00Z,
79,ROUND_OF_32,,,,2026-07-01T01:00:00Z,
80,ROUND_OF_32,,,,2026-07-01T16:00:00Z,
81,ROUND_OF_32,,,,2026-07-01T20:00:00Z,
82,ROUND_OF_32,,,,2026-07-02T00:00:00Z,
83,ROUND_OF_32,,,,2026-07-02T19:00:00Z,
84,ROUND_OF_32,,,,2026-07-02T23:00:00Z,
85,ROUND_OF_32,,,,2026-07-03T03:00:00Z,
86,ROUND_OF_32,,,,2026-07-03T18:00:00Z,
87,ROUND_OF_32,,,,2026-07-03T22:00:00Z,
88,ROUND_OF_32,,,,2026-07-04T01:30:00Z,
89,ROUND_OF_16,,,,2026-07-04T17:00:00Z,
90,ROUND_OF_16,,,,2026-07-04T21:00:00Z,
91,ROUND_OF_16,,,,2026-07-05T20:00:00Z,
92,ROUND_OF_16,,,,2026-07-06T00:00:00Z,
93,ROUND_OF_16,,,,2026-07-06T19:00:00Z,
94,ROUND_OF_16,,,,2026-07-07T00:00:00Z,
95,ROUND_OF_16,,,,2026-07-08T16:00:00Z,
96,ROUND_OF_16,,,,2026-07-08T20:00:00Z,
97,QUARTER_FINAL,,,,2026-07-09T20:00:00Z,
98,QUARTER_FINAL,,,,2026-07-10T19:00:00Z,
99,QUARTER_FINAL,,,,2026-07-11T21:00:00Z,
100,QUARTER_FINAL,,,,2026-07-12T01:00:00Z,
101,SEMI_FINAL,,,,2026-07-14T19:00:00Z,
102,SEMI_FINAL,,,,2026-07-15T19:00:00Z,
103,THIRD_PLACE,,,,2026-07-18T21:00:00Z,
104,FINAL,,,,2026-07-19T19:00:00Z,
