group,fifa_code,name_sv,name_en
A,MEX,Mexiko,Mexico
A,SAR,Sydafrika,South Africa
A,KOR,Sydkorea,South Korea
A,CZE,Tjeckien,Czech Republic
B,CAN,Kanada,Canada
B,BIH,Bosnien-Hercegovina,Bosnia and Herzegovina
B,QAT,Qatar,Qatar
B,SUI,Schweiz,Switzerland
C,BRA,Brasilien,Brazil
C,MAR,Marocko,Morocco
C,HAI,Haiti,Haiti
C,SCO,Skottland,Scotland
D,USA,USA,United States
D,PAR,Paraguay,Paraguay
D,AUS,Australien,Australia
D,TUR,Turkiet,Turkiye
E,GER,Tyskland,Germany
E,CUR,Curaçao,Curaçao
E,CIV,Elfenbenskusten,Ivory Coast
E,ECU,Ecuador,Ecuador
F,NED,Nederländerna,Netherlands
F,JPN,Japan,Japan
F,SWE,Sverige,Sweden
F,TUN,Tunisien,Tunisia
G,BEL,Belgien,Belgium
G,EGY,Egypten,Egypt
G,IRN,Iran,Iran
G,NZL,Nya Zeeland,New Zealand
H,ESP,Spanien,Spain
H,CPV,Kap Verde,Cape Verde
H,KSA,Saudiarabien,Saudi Arabia
H,URU,Uruguay,Uruguay
I,FRA,Frankrike,France
I,SEN,Senegal,Senegal
I,IRQ,Irak,Iraq
I,NOR,Norge,Norway
J,ARG,Argentina,Argentina
J,ALG,Algeriet,Algeria
J,AUT,Österrike,Austria
J,JOR,Jordanien,Jordan
K,POR,Portugal,Portugal
K,COD,DR Kongo,DR Congo
K,UZB,Uzbekistan,Uzbekistan
K,COL,Colombia,Colombia
L,ENG,England,England
L,CRO,Kroatien,Croatia
L,GHA,Ghana,Ghana
L,PAN,Panama,Panama
